lda1,lda2,region_name,geography_name,geography_code,region_code
24.95122161524817,-0.9745437413789667,London,Merton,E09000024,E12000007
24.714376509086698,-0.9742877987486707,London,Redbridge,E09000026,E12000007
24.020400031864327,-0.8064540284672941,London,Richmond upon Thames,E09000027,E12000007
24.2856931015202,-0.01834490871240444,London,Sutton,E09000029,E12000007
24.648460873863357,-1.189977797289482,London,Waltham Forest,E09000031,E12000007
-1.0480532323175176,4.413814456405243,South East,Bracknell Forest,E06000036,E12000008
-1.0593466661537398,5.363840333749876,South East,Brighton and Hove,E06000043,E12000008
-1.499801821997353,4.432795725441976,South East,Isle of Wight,E06000046,E12000008
-1.5213810420369356,5.170697251355252,South East,Medway,E06000035,E12000008
-0.9114765910622811,4.116414147372055,South East,Milton Keynes,E06000042,E12000008
-1.4887385920146325,5.527470852189888,South East,Portsmouth,E06000044,E12000008
-1.2929353452037462,5.481540922381556,South East,Reading,E06000038,E12000008
-1.1450896161077964,4.566624692691894,South East,Slough,E06000039,E12000008
-1.6148278751667906,4.321640088725276,South East,Southampton,E06000045,E12000008
-2.1893889903435357,3.8200273479888573,South East,West Berkshire,E06000037,E12000008
-1.271210402679706,5.553732096178035,South East,Windsor and Maidenhead,E06000040,E12000008
-0.4631283273432558,5.503106182576807,South East,Wokingham,E06000041,E12000008
-0.5366652367472409,4.471696751939812,South East,Aylesbury Vale,E07000004,E12000008
0.4274198005499581,5.5859363387325525,South East,Chiltern,E07000005,E12000008
-1.8924564323681579,4.733706478666437,South East,South Bucks,E07000006,E12000008
-0.5126633170771078,4.278668495456114,South East,Wycombe,E07000007,E12000008
-0.5195894393943141,5.7812363538110505,South East,Eastbourne,E07000061,E12000008
-0.210431714329113,5.514541359278257,South East,Hastings,E07000062,E12000008
0.005641936718532414,2.8638284127620337,South East,Lewes,E07000063,E12000008
-0.7128886479974943,5.833507596535452,South East,Rother,E07000064,E12000008
-1.56919680088739,4.700155801514115,South East,Wealden,E07000065,E12000008
-0.6869468328077497,4.231846199096595,South East,Basingstoke and Deane,E07000084,E12000008
-1.3811838701965906,3.798378240710255,South East,East Hampshire,E07000085,E12000008
-0.016111634858426926,2.16622342914542,South East,Eastleigh,E07000086,E12000008
-2.3402577625437795,5.7775194080980175,South East,Fareham,E07000087,E12000008
1.0344567680403296,3.131256374860327,South East,Gosport,E07000088,E12000008
-1.0159501259121582,4.193087231821428,South East,Hart,E07000089,E12000008
0.48000516091454504,2.3187378781810266,South East,Havant,E07000090,E12000008
-1.6241570988173215,6.06922062512969,South East,New Forest,E07000091,E12000008
-1.2561764896994592,4.331694738239241,South East,Rushmoor,E07000092,E12000008
-1.24298730704983,4.539253172429406,South East,Test Valley,E07000093,E12000008
-1.3485879410323447,5.071440033272948,South East,Winchester,E07000094,E12000008
-2.471828435506307,4.930080493036278,South East,Ashford,E07000105,E12000008
-0.40826394348010053,5.496395412973933,South East,Canterbury,E07000106,E12000008
-1.5463125108871791,3.6440288833833754,South East,Dartford,E07000107,E12000008
-1.079434120501383,3.042254198302749,South East,Dover,E07000108,E12000008
-0.7897222169808629,4.744020718924689,South East,Gravesham,E07000109,E12000008
-1.7493176295511028,3.814541440179335,South East,Maidstone,E07000110,E12000008
-1.3075031829024866,3.87499229490084,South East,Sevenoaks,E07000111,E12000008
-0.19572065941397065,5.709919926831235,South East,Folkestone and Hythe,E07000112,E12000008
-0.8080533012334832,3.549372641394337,South East,Swale,E07000113,E12000008
-1.1620074749302645,5.117007876421384,South East,Thanet,E07000114,E12000008
0.3544229241884167,4.6345165810709705,South East,Tonbridge and Malling,E07000115,E12000008
-0.9189678472032572,4.4249478563643265,South East,Tunbridge Wells,E07000116,E12000008
-1.1363059504896877,5.721420474985275,South East,Cherwell,E07000177,E12000008
-0.8944247979046882,5.120811262582037,South East,Oxford,E07000178,E12000008
0.10384695984440423,5.516549007961522,South East,South Oxfordshire,E07000179,E12000008
-2.0816407609467333,4.149260321113552,South East,Vale of White Horse,E07000180,E12000008
-1.4044286911261892,2.985305944529887,South East,West Oxfordshire,E07000181,E12000008
0.39703758055223126,4.0061029955040635,South East,Elmbridge,E07000207,E12000008
-1.9417303598804705,4.265325568618234,South East,Epsom and Ewell,E07000208,E12000008
-0.8632064481527313,5.126999362685161,South East,Guildford,E07000209,E12000008
-1.9546896069986592,3.268085669696444,South East,Mole Valley,E07000210,E12000008
-1.4502732337430067,6.036424760636859,South East,Reigate and Banstead,E07000211,E12000008
-1.391865977514617,4.976550131737858,South East,Runnymede,E07000212,E12000008
0.17388409653168457,4.27543161738857,South East,Spelthorne,E07000213,E12000008
-1.572199417317872,5.035530173502573,South East,Surrey Heath,E07000214,E12000008
-0.8565067274955389,3.749324565033301,South East,Tandridge,E07000215,E12000008
-2.465900309636182,6.150857729262981,South East,Waverley,E07000216,E12000008
-1.5284234850598943,5.537412965601071,South East,Woking,E07000217,E12000008
-2.44515380775405,4.457931724068056,South East,Adur,E07000223,E12000008
-2.2671542867656367,5.622750289166837,South East,Arun,E07000224,E12000008
-0.33587353471447856,2.544337992324007,South East,Chichester,E07000225,E12000008
-1.4501597491250076,4.572792310853298,South East,Crawley,E07000226,E12000008
-0.7296590854202146,4.50939393585239,South East,Horsham,E07000227,E12000008
-0.2861061252662931,4.886872010689514,South East,Mid Sussex,E07000228,E12000008
-2.4886121144689466,4.5329613688115,South East,Worthing,E07000229,E12000008
-2.1838830055574983,0.8261756875139453,South West,Bath and North East Somerset,E06000022,E12000009
-1.9351289036366977,-0.2702130832503439,South West,Bournemouth,E06000028,E12000009
-2.405477018818793,-0.1705675587379074,South West,"Bristol, City of",E06000023,E12000009
-2.4430379375547613,1.0249029924012953,South West,Cornwall,E06000052,E12000009
-1.8190211897406758,0.4150326886409288,South West,Isles of Scilly,E06000053,E12000009
-2.30010406193448,0.9296376241110887,South West,North Somerset,E06000024,E12000009
-2.20361950191276,0.22034654195063055,South West,Plymouth,E06000026,E12000009
-3.429420104831723,1.2351260243233748,South West,Poole,E06000029,E12000009
-1.9128541001127006,0.9850538710278766,South West,South Gloucestershire,E06000025,E12000009
-2.525205454075006,1.4769233920907792,South West,Swindon,E06000030,E12000009
-2.0548102636782466,-0.057119762230209044,South West,Torbay,E06000027,E12000009
